elo_rating,time,model
1257.9044621870382,1713826455.891,gpt-4-turbo-2024-04-09
1253.30890337973,1713826455.891,gpt-4-1106-preview
1251.4128279052454,1713826455.891,claude-3-opus-20240229
1248.811750254035,1713826455.891,gemini-1.5-pro-api-0409-preview
1247.8921925617112,1713826455.891,gpt-4-0125-preview
1212.9552506550563,1713826455.891,llama-3-70b-instruct
1208.2075828001111,1713826455.891,bard-jan-24-gemini-pro
1201.4268268727042,1713826455.891,claude-3-sonnet-20240229
1191.7290203019859,1713826455.891,command-r-plus
1188.247810969109,1713826455.891,gpt-4-0314
1180.566248813766,1713826455.891,claude-3-haiku-20240307
1164.5185335081437,1713826455.891,gpt-4-0613
1157.7803833864057,1713826455.891,mistral-large-2402
1152.9752862451523,1713826455.891,qwen1.5-72b-chat
1150.3933075625705,1713826455.891,reka-flash-21b-20240226-online
1149.7905360300044,1713826455.891,claude-1
1147.8271526091546,1713826455.891,command-r
1147.5686317436578,1713826455.891,reka-flash-21b-20240226
1147.3429575880243,1713826455.891,mistral-medium
1147.0766157529126,1713826455.891,llama-3-8b-instruct
1259.4083552062887,1713221655.891,gpt-4-turbo-2024-04-09
1253.7933091268446,1713221655.891,gpt-4-1106-preview
1253.6045828044457,1713221655.891,claude-3-opus-20240229
1249.3228775118478,1713221655.891,gpt-4-0125-preview
1218.9427462982503,1713221655.891,gemini-1.5-pro-api-0409-preview
1208.1307748998208,1713221655.891,bard-jan-24-gemini-pro
1202.0217143648254,1713221655.891,claude-3-sonnet-20240229
1192.3078418279779,1713221655.891,command-r-plus
1188.3587424013251,1713221655.891,gpt-4-0314
1180.7659094066187,1713221655.891,claude-3-haiku-20240307
1175.5803305014736,1713221655.891,reka-flash-21b-20240226-online
1164.041476978643,1713221655.891,gpt-4-0613
1157.8188627447344,1713221655.891,mistral-large-2402
1152.5220372019253,1713221655.891,qwen1.5-72b-chat
1149.5924902732172,1713221655.891,claude-1
1147.6190154165263,1713221655.891,mistral-medium
1147.5808463378623,1713221655.891,command-r
1135.6097570546553,1713221655.891,qwen1.5-32b-chat
1135.3243997438417,1713221655.891,gemini-pro-dev-api
1130.8147167641773,1713221655.891,claude-2.0
1255.707700481571,1712616855.891,claude-3-opus-20240229
1253.6881668833955,1712616855.891,gpt-4-1106-preview
1249.869698574374,1712616855.891,gpt-4-0125-preview
1207.5878632475738,1712616855.891,bard-jan-24-gemini-pro
1202.8370219418125,1712616855.891,claude-3-sonnet-20240229
1194.6880227752652,1712616855.891,command-r-plus
1188.2867666965851,1712616855.891,gpt-4-0314
1180.6414122533165,1712616855.891,claude-3-haiku-20240307
1163.321643471271,1712616855.891,gpt-4-0613
1157.7692778274377,1712616855.891,mistral-large-2402
1152.2368034311826,1712616855.891,qwen1.5-72b-chat
1149.1444884961281,1712616855.891,claude-1
1148.0106970642087,1712616855.891,mistral-medium
1147.292537341732,1712616855.891,command-r
1137.3933833948438,1712616855.891,qwen1.5-32b-chat
1133.5605795294462,1712616855.891,gemini-pro-dev-api
1130.0656793701153,1712616855.891,claude-2.0
1125.823843443798,1712616855.891,mistral-next
1118.2159652155963,1712616855.891,gpt-3.5-turbo-0613
1118.1276371443346,1712616855.891,claude-2.1
1255.3920310014012,1712012055.891,claude-3-opus-20240229
1251.7783073978856,1712012055.891,gpt-4-1106-preview
1249.4602105215802,1712012055.891,gpt-4-0125-preview
1205.3039861566544,1712012055.891,bard-jan-24-gemini-pro
1199.9962394205124,1712012055.891,claude-3-sonnet-20240229
1186.1051084824346,1712012055.891,gpt-4-0314
